Date,Customer_ID,Gender,Age,Region,Acquisition_Channel,Lead_Source,Device_Type,Product_Plan,Subscription_Type,Monthly_Revenue,Discount_Amount,Net_Revenue,Marketing_Cost,Sales_Cost,Support_Cost,Payment_Mode,Is_Renewed,Is_Churned,Customer_Lifetime_Months,Customer_Satisfaction_Score,Employees_Count
1/1/2023,CUST108549,Male,45,UAE,Email,App,Tablet,Basic,Monthly,17428.3,1933.27,15495.03,4093.76,2346.67,1457.84,Net Banking,0,0,42,4.8,162
1/1/2023,CUST100742,Female,40,India,Email,App,Web,Standard,Monthly,10398.33,2829.21,7569.12,1882.79,1535.66,801.97,Credit Card,1,0,23,4.8,246
1/1/2023,CUST102330,Male,31,USA,Organic,App,Mobile,Basic,Monthly,9490.72,2441.17,7049.55,1526.45,3277.31,371.69,Wallet,1,0,9,3.9,107
1/1/2023,CUST100558,Female,36,Canada,Referral,App,Tablet,Premium,Monthly,13435.31,1431.88,12003.43,4234.28,578.6,1571.66,Credit Card,1,0,13,4.6,81
1/1/2023,CUST107249,Male,35,India,Social Media,Partner,Tablet,Standard,Monthly,7144.59,1774.41,5370.18,5974.78,2371.12,467.6,Credit Card,1,0,58,3.9,189
1/1/2023,CUST105740,Female,37,UK,Organic,Sales Team,Mobile,Premium,Yearly,19847.97,834.64,19013.33,656.42,2770.13,625.05,Debit Card,1,0,1,3.3,258
1/1/2023,CUST104764,Female,33,UAE,Organic,Sales Team,Mobile,Premium,Monthly,3598.16,1129.93,2468.23,1052.47,2946.38,411.53,UPI,1,1,55,2.6,76
1/1/2023,CUST102690,Male,30,UK,Organic,Website,Mobile,Basic,Monthly,2864.78,2983.01,-118.23,3687.84,2461.81,1282.35,Credit Card,1,0,32,4.3,59
1/1/2023,CUST102479,Male,34,UAE,Email,Sales Team,Web,Basic,Quarterly,16937.18,2351.09,14586.09,2613.72,2824.92,708.31,Net Banking,1,0,22,4.8,170
1/1/2023,CUST104641,Male,47,Canada,Social Media,Sales Team,Web,Premium,Monthly,599.82,1602.48,-1002.66,4577.85,547.91,970.05,Debit Card,0,1,8,3.3,200
1/1/2023,CUST108388,Female,40,India,Organic,Sales Team,Web,Basic,Quarterly,4331.5,1953.66,2377.84,926.81,614.28,652.55,Wallet,0,1,28,4.7,58
1/1/2023,CUST104898,Male,50,USA,Referral,App,Web,Standard,Monthly,8533,1181.96,7351.04,612.03,3317.05,1587.43,Credit Card,0,0,31,4.6,72
1/1/2023,CUST108304,Male,29,India,Paid Ads,Website,Mobile,Standard,Monthly,7826.8,2522.21,5304.59,910.06,1093.72,1583.3,Net Banking,0,0,4,4.7,213
1/2/2023,CUST100188,Male,45,India,Paid Ads,Website,Web,Basic,Quarterly,18449.22,1609.81,16839.41,1408.33,547.25,1685.42,Credit Card,1,0,25,4.8,38
1/2/2023,CUST105081,Male,46,India,Social Media,Website,Mobile,Premium,Monthly,19003.25,535.76,18467.49,1089.5,1642.37,95.16,UPI,0,1,30,3.3,235
1/2/2023,CUST100145,Male,42,UAE,Social Media,Sales Team,Web,Basic,Monthly,4664.37,667.84,3996.53,4835.75,3992.92,1301.57,Debit Card,1,0,18,3.5,245
1/2/2023,CUST101623,Male,47,USA,Paid Ads,Sales Team,Tablet,Premium,Monthly,9885.76,32.13,9853.63,3441.18,2373.3,353.4,Net Banking,1,0,13,4,75
1/2/2023,CUST101363,Female,44,USA,Paid Ads,Partner,Tablet,Basic,Monthly,4033.86,364.19,3669.67,3211.62,3688.27,1200.02,UPI,1,0,3,4.9,22
1/2/2023,CUST101458,Female,54,UK,Organic,Website,Tablet,Basic,Monthly,4302.29,223.97,4078.32,1866.62,190.46,261.98,Wallet,1,0,46,3.8,95
1/3/2023,CUST104909,Female,37,USA,Referral,Sales Team,Mobile,Premium,Monthly,2660.1,1467.49,1192.61,3952.2,2595.7,1555.61,Credit Card,0,1,20,3.5,239
1/3/2023,CUST109437,Female,50,Canada,Email,Sales Team,Mobile,Premium,Monthly,16913.97,1187.1,15726.87,4303.1,2615.82,1876.19,UPI,1,1,54,3.1,49
1/3/2023,CUST101137,Female,59,UAE,Email,App,Tablet,Standard,Monthly,9711.07,1586.15,8124.92,4041.35,281.6,1167.49,UPI,1,0,55,3.6,253
